Year,ROE,ROA,Current_Ratio,Debt_to_Equity,Free_Cash_Flow_Billions,Operating_Cash_Flow_Billions,Gross_Margin,Operating_Margin,Net_Margin
2004,7.2%,6.8%,10.65,0.00,0.38,0.58,59.8%,12.5%,12.6%
2005,15.2%,14.1%,9.41,0.00,1.23,1.62,60.2%,23.9%,23.9%
2006,18.6%,16.9%,10.12,0.00,2.54,3.19,59.7%,29.1%,29.0%
2007,19.1%,17.3%,9.77,0.00,3.70,4.43,59.4%,25.3%,25.3%
2008,18.2%,16.5%,8.77,0.00,4.05,5.20,58.6%,19.4%,19.4%
2009,18.1%,16.4%,10.62,0.00,5.51,6.63,64.2%,27.6%,27.6%
2010,18.5%,16.8%,10.48,0.00,6.95,8.14,65.1%,29.0%,29.0%
2011,18.2%,16.5%,5.92,0.00,8.07,9.98,65.2%,25.7%,25.7%
2012,17.9%,16.2%,5.43,0.00,8.71,10.74,64.8%,21.4%,21.4%
2013,17.0%,15.4%,4.77,0.00,11.26,12.92,59.6%,23.3%,23.3%
2014,14.9%,13.5%,4.88,0.00,12.48,14.44,61.5%,21.9%,21.9%
2015,14.4%,13.1%,5.12,0.00,14.20,16.35,62.4%,21.8%,21.8%
2016,14.7%,13.4%,5.20,0.02,16.44,19.48,61.9%,21.6%,21.6%
2017,12.3%,11.2%,3.74,0.02,10.45,12.66,56.9%,11.4%,11.4%
2018,16.6%,15.1%,3.39,0.03,22.81,30.74,56.2%,22.5%,22.5%
2019,17.7%,16.1%,3.36,0.04,23.71,34.34,55.7%,21.2%,21.2%
2020,17.9%,16.3%,3.08,0.05,29.59,40.27,56.0%,22.1%,22.1%
2021,30.6%,27.8%,2.93,0.06,50.64,76.03,56.9%,29.5%,29.5%
2022,21.2%,19.3%,2.85,0.07,39.65,59.97,55.2%,21.2%,21.2%
2023,24.5%,22.3%,2.77,0.08,49.23,73.80,57.1%,24.0%,24.0%
2024,27.8%,25.3%,2.69,0.09,62.48,89.20,58.3%,25.8%,25.8%
2025,29.2%,26.6%,2.61,0.10,71.80,98.50,59.1%,25.6%,25.6%
